Velocità;DistanzaLineaCentrale;SensoreSXSX;SensoreSX;SensoreCentrale;SensoreDX;SensoreDXDX;AngoloTraccia
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
3.72367E-5;0.334406;11.8011;32.5042;200.0;63.7445;23.5198;0.0029537;1
2.7904E-5;0.334441;11.8061;32.5613;200.0;63.6338;23.5093;0.00343197;1
0.143204;0.334473;11.8087;32.5923;200.0;63.5735;23.5037;0.00369614;1
0.144314;0.334493;11.8112;32.621;200.0;63.5184;23.4984;0.00393599;1
0.14314;0.334518;11.8141;32.6547;200.0;63.4537;23.4923;0.00421923;1
0.144005;0.334547;11.8169;32.6879;200.0;63.3904;23.4863;0.00449723;1
0.143136;0.334581;11.8193;32.7169;200.0;63.3346;23.4811;0.00474423;1
0.144136;0.334618;11.8212;32.7419;200.0;63.2866;23.4768;0.00495928;1
0.143295;0.33466;11.8225;32.7615;200.0;63.2484;23.4735;0.00513285;1
0.144498;0.334705;11.8233;32.7765;200.0;63.2186;23.4711;0.00527113;1
0.479989;0.334743;11.8215;32.7617;200.0;63.2441;23.4741;0.00516814;1
0.813901;0.334761;11.8203;32.7518;200.0;63.2619;23.4761;0.00509518;1
1.1277;0.334774;11.8194;32.7451;200.0;63.2737;23.4775;0.00504702;1
1.53945;0.334787;11.8192;32.744;200.0;63.2752;23.4778;0.0050432;1
1.89893;0.334801;11.8175;32.7288;200.0;63.3029;23.4808;0.00492638;1
2.17303;0.334815;11.8176;32.7311;200.0;63.2979;23.4805;0.00495022;1
2.57568;0.334828;11.8156;32.7125;200.0;63.332;23.4841;0.00480622;1
2.94228;0.334841;11.8159;32.7171;200.0;63.3229;23.4833;0.00484818;1
3.22508;0.334852;11.8146;32.7048;200.0;63.3453;23.4857;0.00475376;1
3.61147;0.334862;11.815;32.7103;200.0;63.3345;23.4847;0.00480192;1
3.93735;0.334869;11.8123;32.6834;200.0;63.3844;23.4898;0.00458878;1
4.29478;0.334881;11.8125;32.6868;200.0;63.3777;23.4893;0.00462025;1
4.6442;0.33489;11.8109;32.6722;200.0;63.4044;23.4921;0.00450724;1
4.99181;0.334899;11.8111;32.6752;200.0;63.3986;23.4916;0.00453394;1
